"rowname","Estimate","Std. Error","t value","Pr(>|t|)","p.adj","p.adj.signif"
"(Intercept)",0.443979577523914,0.435250282711972,1.02005580503602,0.347056665983827,0.645580857136079,"ns"
"Trainingfrequency",-0.0735129552310501,0.131976292817899,-0.557016367572041,0.597664755948196,0.683045435369366,"ns"
"Trainingtime",0.00345726137802887,0.00345728423351211,0.999993389180151,0.355920634066306,0.645580857136079,"ns"
"ppFEV1",0.167268555764191,0.203886409067796,0.820400714932263,0.443352211486744,0.646772109462029,"ns"
"ppFVC",0.0197232310946639,0.04171932377509,0.472760085973405,0.653091327772664,0.696630749624175,"ns"
"Trainingfrequency:Trainingtime",-0.000344802587417437,0.000441668957903576,-0.7806810536427,0.464666466562033,0.646772109462029,"ns"
"Trainingfrequency:ppFEV1",-0.0605184546260063,0.0615057732844718,-0.98394754499063,0.363139232139045,0.645580857136079,"ns"
"Trainingtime:ppFEV1",-0.00204360126632062,0.00119237873796239,-1.71388603407408,0.137379889487247,0.366346371965992,"ns"
"Trainingfrequency:ppFVC",-0.00632717578340413,0.0198652250579766,-0.318505114587843,0.76089709120398,0.76089709120398,"ns"
"Trainingtime:ppFVC",-0.000282013467746221,0.000472534546805594,-0.596810264249833,0.572449542994161,0.683045435369366,"ns"
"ppFEV1:ppFVC",-0.0359166363575986,0.0130701487633358,-2.74798986667632,0.0333804700603969,0.34885913409093,"ns"
"Trainingfrequency:Trainingtime:ppFEV1",0.00064833009849134,0.00034469090768573,1.88090281476891,0.109018479403416,0.34885913409093,"ns"
"Trainingfrequency:Trainingtime:ppFVC",0.000111685456093502,0.000150149648698315,0.743827621720934,0.485079082096522,0.646772109462029,"ns"
"Trainingfrequency:ppFEV1:ppFVC",0.0116242196432097,0.0048321930978647,2.40557846257145,0.0528914042676508,0.34885913409093,"ns"
"Trainingtime:ppFEV1:ppFVC",0.000258285230229235,0.000128233116360899,2.01418508384619,0.0906275246749799,0.34885913409093,"ns"
"Trainingfrequency:Trainingtime:ppFEV1:ppFVC",-8.18803120662413e-05,3.76357821330366e-05,-2.17559746139477,0.0725001037634619,0.34885913409093,"ns"
